状态,简介,page_existence,地点,子行业,网址,TAG,时间,阶段,行业,id,公司
运营中,爱帮网是一家本地生活搜索服务提供商，为用户提供电话、地址、电子地图等本地商户黄页信息，以及公交查询、团购打折、生活经验等本地生活类信息，有移动app爱帮公交、爱帮附近等。爱帮聚信(北京)科技有限公司旗下。,True,北京,生活综合服务,http://www.aibang.com,O2O,2007年1月,成长发展期,本地生活,9000,爱帮聚信(北京)科技有限公司
运营中,北京鲸梦文化传播公司致力于提供线上营销的动画解决方案，同时出品、制作优质精彩的动画原创系列片。,True,北京,广告技术,http://whaledream.com/,动画,2013年6月,初创期,广告营销,9001,北京市鲸梦文化传播有限公司
运营中,Keep key是一个主打智能防丢设备，通过配合手机App，可以达到安全距离报警、查找、以及遥控手机拍照的功能。深圳市世纪金狐科技有限公司（Foxkn）旗下产品。,True,广东,电子数码,http://www.foxkn.com,可穿戴设备,2013年10月,初创期,硬件,9002,深圳市世纪金狐科技有限公司
运营中,Keep key是一个主打智能防丢设备，通过配合手机App，可以达到安全距离报警、查找、以及遥控手机拍照的功能。深圳市世纪金狐科技有限公司（Foxkn）旗下产品。,False,广东,电子数码,http://www.foxkn.com,可穿戴设备,2013年10月,初创期,硬件,9003,深圳市世纪金狐科技有限公司
运营中,热九是一个专门针对微信公众账号提供营销推广服务的第三方平台。主要功能是针对微信商家公众号提供与众不同的、有针对性的营销推广服务。,True,陕西,综合广告服务,http://www.ree9.com/,外包,2013年6月,初创期,广告营销,9004,西安亮剑网络科技有限公司
运营中,北京江海云霄教育科技是一家主打中小学远程实景互动教学的教育品牌，一方面为二三线城市学校和教育机构建设“鹦鹉螺云教室”及“江海云霄学习广场”，另一方面为当地的中小学生提供国际留学、中高考培优等差异化课程服务。,True,北京,K12教育,http://www.jhyx.com.cn/,,2010年7月,成长发展期,教育,9005,北京江海云霄教育科技有限公司
运营中,聚食汇是面向餐饮企业开发的一套集点菜、收银、厨房、财务、库存、会员管理、移动订餐、数据分析于一体的智能化餐饮管理系统，排队网旗下产品，还有聚食汇点餐、聚食汇智能点菜宝、聚食汇CRM系统等。,True,广东,行业解决方案,http://huoban.paidui.com/product/index.shtml,餐饮信息化,2011年11月,成长发展期,企业服务,9006,深圳排队网络技术有限公司
运营中,轻ing每周花艺是一个花艺和网上选花电商品牌，主打“每周花艺配送，分享生活细微之美”，上海花库珍章电子商务有限公司旗下网站。,True,上海,生活服务电商,http://www.qinging.com.cn,定期订购,2014年1月,初创期,电子商务,9007,上海花库珍章电子商务有限公司
运营中,满分王，K12教育阶段的学习成绩检测工具。通过不断地检测学习成果，对学生和教师进行结果分析，应用于K12教学中对使用者下一步学习计划提供支持。,True,云南,K12教育,http://www.iyuna.cn/,,2012年10月,初创期,教育,9008,昆明雨纳软件开发有限公司
运营中,安润普是一家柔性传感技术供应商，基于其独有的SOFTCEPTORTM技术，为材料测试、医疗保健、运动与工业客户提供高价值的产品与技术服务，目前产品包含柔性传感器件和网络、无线数据采集、分析和传输平台与应用解决方案等。,True,香港,传感器,http://www.advanpro.hk,可穿戴设备,2013年1月,初创期,硬件,9009,香港安润普有限公司
运营中,梦途留学网致力于为中国留学生提供多方位的留学服务信息平台，包括留学、海外就业、生活信息、语言培训、考试指导、文书写作、院校资料、留学问答等，隶属于广州美乐商务服务有限公司。,True,广东,出国留学,http://www.mengtulx.com,,2014年1月,成长发展期,教育,9010,广州美乐商务服务有限公司
运营中,壹比特是一家专注于比特币等数字资产的门户媒体，提供资讯、社区等内容，隶属于壹比特数字科技（北京）有限公司。,True,北京,虚拟货币,http://www.yibite.com,,2014年1月,初创期,金融,9011,壹比特数字科技（北京）有限公司
运营中,Hobobe是一家面向外国游客提供中国入境游的网站，外国游客可以快速查询本地化的旅行信息，包含特色客栈、酒店、美食、娱乐、门票等，还支持预定感兴趣的本地化服务。,True,北京,入境游,http://www.hobobe.com,,2014年1月,初创期,旅游,9012,
运营中,厦门杰赢网络（Jeawin）是一家专注于外贸网站营销策划与服务外包的公司，提供外贸网站建设优化推广和营销服务。,True,福建,外贸电商,http://www.jeawin.com,,2011年7月,初创期,电子商务,9013,厦门杰赢网络科技有限公司
运营中,FashionVC华丽集是一家基于“品牌”的互联网众筹平台，帮助品牌找寻投资者、合作方、人才和同盟者。,True,北京,众筹合投,http://fashion.vc,时尚,2014年3月,初创期,金融,9014,
运营中,FashionVC华丽集是一家基于“品牌”的互联网众筹平台，帮助品牌找寻投资者、合作方、人才和同盟者。,False,北京,众筹合投,http://fashion.vc,时尚,2014年3月,初创期,金融,9015,
运营中,PIMI空气盒子是一个PM2.5监测软硬件设备，通过智能手机无线连接，提供室内空气质量的实时与历史数据，并提供相应的数据分析服务，及时预警，为你提供一个优质的空气解决方案。,True,北京,传感器,http://pimiair.org,节能环保,2014年1月,初创期,硬件,9016,清华大学PiMi团队
运营中,九次方金融大数据平台是一个企业大数据平台，构建了以金融大数据为核心的数据平台+金融交易及社交平台+决策工作的平台，基于900万家公司数据、2000多项数据指标、10000多个数据模型，形成了针对商业银行、政府征信、互联网金融、P2P公司、小贷、担保、基金、证券等众多领域的大数据解决方案。九次方财富资讯(北京)有限责任公司旗下。,True,北京,金融信息化,http://www.jusfoun.com,大数据,2010年1月,成长发展期,金融,9017,九次方财富资讯(北京)有限责任公司
运营中,九次方金融大数据平台是一个企业大数据平台，构建了以金融大数据为核心的数据平台+金融交易及社交平台+决策工作的平台，基于900万家公司数据、2000多项数据指标、10000多个数据模型，形成了针对商业银行、政府征信、互联网金融、P2P公司、小贷、担保、基金、证券等众多领域的大数据解决方案。九次方财富资讯(北京)有限责任公司旗下。,False,北京,金融信息化,http://www.jusfoun.com,大数据,2010年1月,成长发展期,金融,9018,九次方财富资讯(北京)有限责任公司
运营中,伯乐人才网是一家行业人才招聘服务网站，为行业专业人才提供职业顾问咨询服务，为企业提供网络招聘、校园招聘、猎头服务、高级人才推荐、招聘流程外包等一站式人力资源服务。 深圳伯乐网络有限公司旗下网站。,True,广东,人力资源,http://www.bole.com.cn,招聘,2013年12月,初创期,企业服务,9019,深圳伯乐网络有限公司
运营中,伯乐人才网是一家行业人才招聘服务网站，为行业专业人才提供职业顾问咨询服务，为企业提供网络招聘、校园招聘、猎头服务、高级人才推荐、招聘流程外包等一站式人力资源服务。 深圳伯乐网络有限公司旗下网站。,False,广东,人力资源,http://www.bole.com.cn,招聘,2013年12月,初创期,企业服务,9020,深圳伯乐网络有限公司
运营中,懒人管家是一个主打男士商务男袜的按月订购网站，隶属于上海中镭新材料科技有限公司。,True,上海,服装服饰,http://lanrenguanjia.com,定期订购,2014年1月,初创期,电子商务,9021,上海中镭新材料科技有限公司
运营中,迅雷是一家多媒体软件服务商及一站式数字内容发行平台，产品有迅雷软件、云播、迅雷看看等，隶属于深圳市迅雷网络技术有限公司。,True,广东,多媒体,http://www.xunlei.com,视频,2003年1月,成长发展期,文化娱乐体育,9022,深圳市迅雷网络技术有限公司
运营中,邮乐网由中国邮政与香港TOM集团合资成立，是一家主打O2O模式的电子商务平台,True,上海,综合电商,http://www.ule.com,O2O,2009年10月,成长发展期,电子商务,9023,上海邮乐贸易有限公司
运营中,小小商城是一个基于微信（微信公众号为aoox90）的校园综合服务平台，以29分钟送货上门的校园网上超市小小商城为核心，有外卖订餐、在线打印等生活便利服务，致力于打造一个使校园师生的生活更轻松、更快捷和更方便的综合服务平台。,True,北京,综合电商,http://www.aoox90.com,O2O,2013年11月,初创期,电子商务,9024,
运营中,中国搜索是一个搜索引擎，首批推出新闻、报刊、网页、图片、视频、地图、网址导航七大类综合搜索服务，以及国情、社科、理论、法规、时政、地方等16个垂直频道，盘古搜索和即刻搜索合并而成。,True,北京,搜索引擎,http://chinaso.com/,垂直搜索,2014年3月,初创期,工具软件,9025,
运营中,学派网是一个各类考试精品在线辅导课程学习平台，课程涉及学历、外语、财会税收、建筑工程、法律、职业资格类等各类教育培训与辅导。北京大家网教育科技有限公司旗下网站。,True,北京,职业培训,http://www.studypay.com/,,2010年1月,成长发展期,教育,9026,北京大家网教育科技有限公司
运营中,DOLRY是一个智能无线音箱品牌，主打产品为 HIFI Stone，可以瞬间将苹果音箱升级为无线AirPlay云音箱，隶属于上海融帜信息技术有限公司。,True,上海,电子数码,http://dolry.cn,音箱耳机,2013年1月,初创期,硬件,9027,上海融帜信息技术有限公司
运营中,请柬+是一个个性化电子请柬解决方案服务商，将传统请柬和AR增强现实结合，为用户提供生动的请柬服务，上海EasyAR团队旗下产品。,True,上海,实用工具,http://qing.sightp.com,,2013年11月,初创期,工具软件,9028,EasyAR团队
运营中,请柬+是一个个性化电子请柬解决方案服务商，将传统请柬和AR增强现实结合，为用户提供生动的请柬服务，上海EasyAR团队旗下产品。,False,上海,实用工具,http://qing.sightp.com,,2013年11月,初创期,工具软件,9029,EasyAR团队
运营中,图商网盟是一家专注于移动互联网的研发与营销服务，可以为商家提供智能选址分析和新店开张宣传的服务。,True,北京,企业IT服务,http://www.maplbc.com,众包,2013年1月,初创期,企业服务,9030,图商网盟(北京)科技有限公司
运营中,大嘴巴是一个面向餐饮行业的自助点餐解决方案服务商，包括顾客版和商家版，顾客版为消费者提供了手机点菜、结帐、订位管理等功能；商家版则协助餐厅管理者服务顾客，上海通吃网络技术有限公司旗下产品。,True,上海,美食餐饮,http://www.dzb.cn,阿里巴巴系,2013年7月,初创期,本地生活,9031,上海通吃网络技术有限公司
运营中,前金所是一个互联网P2P网络借贷服务平台，提供第三方借贷、担保服务等，隶属于深圳前海融通科技有限公司。,True,广东,贷款,http://www.qhfax.com,P2P借贷,2014年1月,初创期,金融,9032,深圳前海融通科技有限公司
运营中,上海庆科（MXCHIP）是一家专注于嵌入式无线模块和产品的供应商，推出了一系列嵌入式Wi-Fi、ZigBee、BLE、NFC等模块产品，为物联网应用提供完备的短距离标准无线网络接入解决方案，目前产品已经批量应用于白色家电、远程医疗、智能电网、智能交通等领域。,True,上海,芯片半导体,http://www.mxchip.com,中间件,2004年10月,成长发展期,硬件,9033,上海庆科信息技术公司
运营中,42旅是一个马拉松赛事社交网站，致力于收集和分享全球马拉松赛事资讯，并为跑友提供一个点评马拉松赛事、交流跑马心得、分享参赛贴士，以及发表和交流其他与跑步相关内容的平台。上海匀速跑网络科技有限公司旗下网站。,True,上海,体育运动,http://www.42trip.com,垂直社区,2013年10月,初创期,文化娱乐体育,9034,上海匀速跑网络科技有限公司
运营中,真朴教育是一家主打东方文化、关注人类自然成长和自由发展的新教育品牌，旗下包括真围棋教室、真朴古琴教室、真朴家庭成长课程等产品，在北京、上海、深圳、江苏、山东等地都开设了分校。,True,北京,兴趣教育,http://www.zhenpuedu.com,,2007年1月,成长发展期,教育,9035,北京弈童天地文化传媒有限公司
运营中,真朴教育是一家主打东方文化、关注人类自然成长和自由发展的新教育品牌，旗下包括真围棋教室、真朴古琴教室、真朴家庭成长课程等产品，在北京、上海、深圳、江苏、山东等地都开设了分校。,False,北京,兴趣教育,http://www.zhenpuedu.com,,2007年1月,成长发展期,教育,9036,北京弈童天地文化传媒有限公司
运营中,推我网是一家主打周易预测、创意服务的平台，提供周易测算、设计开发文案等创意对接服务等，隶属于北京集仁时代信息技术有限公司。,True,北京,综合文化娱乐,http://www.tui5.com,众包,2012年10月,初创期,文化娱乐体育,9037,北京集仁时代信息技术有限公司
运营中,推我网是一家主打周易预测、创意服务的平台，提供周易测算、设计开发文案等创意对接服务等，隶属于北京集仁时代信息技术有限公司。,False,北京,综合文化娱乐,http://www.tui5.com,众包,2012年10月,初创期,文化娱乐体育,9038,北京集仁时代信息技术有限公司
运营中,推我网是一家主打周易预测、创意服务的平台，提供周易测算、设计开发文案等创意对接服务等，隶属于北京集仁时代信息技术有限公司。,False,北京,综合文化娱乐,http://www.tui5.com,众包,2012年10月,初创期,文化娱乐体育,9039,北京集仁时代信息技术有限公司
运营中,推我网是一家主打周易预测、创意服务的平台，提供周易测算、设计开发文案等创意对接服务等，隶属于北京集仁时代信息技术有限公司。,False,北京,综合文化娱乐,http://www.tui5.com,众包,2012年10月,初创期,文化娱乐体育,9040,北京集仁时代信息技术有限公司
运营中,115APP（115爱普）是一个手机应用、游戏下载、安装、攻略服务网站，提供渠道服务，北京畅意无限科技有限公司旗下产品。,True,北京,应用分发和渠道,http://www.115app.com,,2013年12月,初创期,移动互联网,9041,北京畅意无限科技有限公司
运营中,六健康网通过SNS的方式为广大用户搭建一个患者与医生、医生与医生、医生与医院之间的沟通互动平台，成为大家身边的健康顾问。,True,北京,医疗综合服务,http://www.6jk.com/,垂直社区,2013年10月,初创期,医疗健康,9042,北京康华互联广告有限公司
运营中,深圳泰瑞谷科技有限公司是一家汽车电子设备研发生产、销售服务商，产品和服务包括汽车电子通讯解码、汽车总线、车主应用、行业应用开发等，主打欧洲、北美和东南亚地区。,True,广东,车联网及硬件,http://www.autophix.com,,2010年11月,成长发展期,汽车交通,9043,深圳市泰瑞谷科技有限公司
运营中,WeMaker是一个专注于创客、智能硬件、可穿戴设备的科技媒体，为创客及希望成为创客的人群服务，内容涵盖DIY实验教程、智能硬件产品、产业最新动态等。,True,北京,综合硬件,http://wemaker.cc,可穿戴设备,2014年1月,初创期,硬件,9044,
运营中,美澳居是一个主打海外房产的电子商务平台，为购房者提供专业全面的市场分析，协助客户完成投资决策和购房手续；并为众多海外房产机构开辟专业的网上商城。北京美澳居商务有限公司旗下网站。,True,北京,房产金融,http://meiaoju.com/,众筹,2014年2月,初创期,房产服务,9045,北京美澳居商务有限公司
运营中,北京递兴泊互联科技是一家自助快递存储系统（AEM）研发商，为本地消费者提供直购、寄存转交、本地服务（商务）信息、配送等服务。,True,北京,快递物流,http://www.dixingbo.com,,2012年10月,初创期,电子商务,9046,北京递兴泊互联科技有限公司
运营中,藌柚(厦门)软件科技有限公司是香港蜜柚控股有限公司旗下控股的一家游戏公司，在2012年获得天使投资，公司总部在厦门注册成立，在郑州和蒙特利尔分别设有分支机构。 致力于成为移动娱乐行业最具特色的游戏及软件开发公司。,True,河南,手机游戏,http://www.meyougames.com,大公司新产品,2013年3月,初创期,游戏,9047,藌柚(厦门)软件科技有限公司
运营中,壹课网，中小学1对1在线辅导和知识平台，是全国范围内提供优质教育教学资源的在线教育服务机构。,True,北京,K12教育,http://www.1kewang.com/,,2013年12月,初创期,教育,9048,北京华一途优教育科技有限公司
